Costcenter	r.squared	Year	Month	Wdays	prediction	total	prediciton
FRIBOURG NORD VD	0.9654438369859232	2017	5	22	0.09343149977122202	0.9975403759508813	0.09366187276596268
FRIBOURG NORD VD	0.9654438369859232	2017	6	21	0.0953687132662982	0.9975403759508813	0.0956038628264949
FRIBOURG NORD VD	0.9654438369859232	2017	7	21	0.08997771940221483	0.9975403759508813	0.09019957644967076
FRIBOURG NORD VD	0.9654438369859232	2017	8	22	0.06790989699176311	0.9975403759508813	0.06807734165850644
FRIBOURG NORD VD	0.9654438369859232	2017	9	21	0.09313065637458456	0.9975403759508813	0.09336028758315673
FRIBOURG NORD VD	0.9654438369859232	2017	10	22	0.09997782077203199	0.9975403759508813	0.10022433495659816
FRIBOURG NORD VD	0.9654438369859232	2017	11	22	0.09593704675796241	0.9975403759508813	0.09617359765163665
FRIBOURG NORD VD	0.9654438369859232	2017	12	19	0.06069527362420204	0.9975403759508813	0.06084492927551502
Region Zürich-Obersee	0.9254014931204457	2017	1	20	0.05778037223833192	0.9961573638138225	0.05800325765511364
Region Zürich-Obersee	0.9254014931204457	2017	2	20	0.07297684150318709	0.9961573638138225	0.07325834667706793
Region Zürich-Obersee	0.9254014931204457	2017	3	23	0.09115582272995812	0.9961573638138225	0.09150745257854134
Region Zürich-Obersee	0.9254014931204457	2017	4	18	0.07627117674519644	0.9961573638138225	0.07656538968219805
Region Zürich-Obersee	0.9254014931204457	2017	5	22	0.09250043598804233	0.9961573638138225	0.0928572526271364
Region Zürich-Obersee	0.9254014931204457	2017	6	21	0.09354296398000772	0.9961573638138225	0.09390380212808476
Region Zürich-Obersee	0.9254014931204457	2017	7	21	0.08663252438672948	0.9961573638138225	0.0869667057974193
Region Zürich-Obersee	0.9254014931204457	2017	8	22	0.08426902828546096	0.9961573638138225	0.08459409260684889
Region Zürich-Obersee	0.9254014931204457	2017	9	21	0.09084711727874946	0.9961573638138225	0.09119755630871228
Region Zürich-Obersee	0.9254014931204457	2017	10	22	0.09733727682940313	0.9961573638138225	0.09771275138372118
Region Zürich-Obersee	0.9254014931204457	2017	11	22	0.09215750869465471	0.9961573638138225	0.09251300250577534
Region Zürich-Obersee	0.9254014931204457	2017	12	19	0.060686295154101066	0.9961573638138225	0.060920390049380865
Region Ost	0.9309195042827797	2017	1	20	0.04253206755446093	0.9965039785179384	0.042681282234033044
Region Ost	0.9309195042827797	2017	2	20	0.05826944454417746	0.9965039785179384	0.05847387045141489
Region Ost	0.9309195042827797	2017	3	23	0.07761516628533509	0.9965039785179384	0.07788746252751455
Region Ost	0.9309195042827797	2017	4	18	0.07860865340484106	0.9965039785179384	0.07888443508449676
Region Ost	0.9309195042827797	2017	5	22	0.0995523223316435	0.9965039785179384	0.09990158040282368
Region Ost	0.9309195042827797	2017	6	21	0.09977016647678497	0.9965039785179384	0.10012018880764456
Region Ost	0.9309195042827797	2017	7	21	0.08577811168807246	0.9965039785179384	0.08607904588163001
Region Ost	0.9309195042827797	2017	8	22	0.09271971530997804	0.9965039785179384	0.09304500263799896
Region Ost	0.9309195042827797	2017	9	21	0.0976890097691902	0.9965039785179384	0.0980317308060117
Region Ost	0.9309195042827797	2017	10	22	0.10416438824093913	0.9965039785179384	0.1045298267608111
Region Ost	0.9309195042827797	2017	11	22	0.09744712541149861	0.9965039785179384	0.0977889978486869
Region Ost	0.9309195042827797	2017	12	19	0.062357807501016896	0.9965039785179384	0.06257657655693381
Region Mitte	0.9167875648568936	2017	1	20	0.057298097095879505	0.9965050975601724	0.05749905066834809
Region Mitte	0.9167875648568936	2017	2	20	0.07184028159476166	0.9965050975601724	0.0720922369294992
Region Mitte	0.9167875648568936	2017	3	23	0.09013845795515066	0.9965050975601724	0.09045458791514892
Region Mitte	0.9167875648568936	2017	4	18	0.07806498836196182	0.9965050975601724	0.07833877473692301
Region Mitte	0.9167875648568936	2017	5	22	0.0931669412586008	0.9965050975601724	0.0934936925929524
Region Mitte	0.9167875648568936	2017	6	21	0.09032078706027269	0.9965050975601724	0.09063755647754608
Region Mitte	0.9167875648568936	2017	7	21	0.08444692363197698	0.9965050975601724	0.08474309247261808
Region Mitte	0.9167875648568936	2017	8	22	0.08540235203652957	0.9965050975601724	0.08570187171709143
Region Mitte	0.9167875648568936	2017	9	21	0.08969826588622097	0.9965050975601724	0.09001285202236979
Region Mitte	0.9167875648568936	2017	10	22	0.09616944042741209	0.9965050975601724	0.09650672200560925
Region Mitte	0.9167875648568936	2017	11	22	0.0956010460514391	0.9965050975601724	0.09593633417983231
Region Mitte	0.9167875648568936	2017	12	19	0.06435751619996656	0.9965050975601724	0.06458322828206148
